time,Vib_Spindle,Vib_Table,Sound_Spindle,Sound_table,X_Load_Cell,Y_Load_Cell,Z_Load_Cell,Current,tool_wear,ACTION_CODE
1,3.940868732,4.913806567,2.363473215,4.890780036,0.001428456,-0.074222454,0.259299387,0.828983641,60,0
2,3.997442518,5.030901225,3.372453021,3.215668661,0.004059792,-0.044291007,0.256668051,0.449084498,72,0
3,3.908634831,4.933870538,2.844354782,2.700896405,0.001757373,0.006033295,0.255352383,1.511486472,131,0
4,3.935606054,5.100960674,2.351628036,2.130682567,0.015571888,0.0274129,0.256339134,3.784961912,131,0
5,3.974089385,5.068726748,2.112421254,2.846164464,-0.003505299,-0.032449995,0.230354691,2.206159329,163,0
6,3.913568591,4.939462137,2.206360084,2.518283151,-0.001860714,0.042543082,0.30172968,1.78876355,174,0
7,3.996455766,5.100302838,2.792038535,0.67093014,-0.002518548,0.012282718,0.343502139,2.785053488,182,0
8,3.872125006,5.129247588,1.410759371,3.399269239,0.000112788,-0.029489742,0.361921492,0.772738832,182,0
9,3.683655378,5.192399772,2.133314828,0.50263013,0.011295967,0.043529833,0.330016542,3.505382205,191,0
10,3.923436112,5.010179416,1.936553314,3.566582728,0.009980299,-0.02422707,0.355014235,1.352948459,191,0
11,3.845153784,4.989786526,3.200039582,3.619392603,-0.002189631,-0.042646422,0.400404781,0.541510176,301,1
12,3.926067451,5.031887977,1.869924217,0.308665611,-0.000545046,0.012611635,0.372446836,4.965117708,301,1
